PassengerId,pclass,fare,embarked
0,3,7.25,S
1,1,71.2833,C
2,3,7.925,S
3,1,53.1,S
4,3,8.05,S
5,3,8.4583,Q
6,1,51.8625,S
7,3,21.075,S
8,3,11.1333,S
9,2,30.0708,C
10,3,16.7,S
11,1,26.55,S
12,3,8.05,S
13,3,31.275,S
14,3,7.8542,S
15,2,16.0,S
16,3,29.125,Q
17,2,13.0,S
18,3,18.0,S
19,3,7.225,C
20,2,26.0,S
21,2,13.0,S
22,3,8.0292,Q
23,1,35.5,S
24,3,21.075,S
25,3,31.3875,S
26,3,7.225,C
27,1,263.0,S
28,3,7.8792,Q
29,3,7.8958,S
30,1,27.7208,C
31,1,146.5208,C
32,3,7.75,Q
33,2,10.5,S
34,1,82.1708,C
35,1,52.0,S
36,3,7.2292,C
37,3,8.05,S
38,3,18.0,S
39,3,11.2417,C
40,3,9.475,S
41,2,21.0,S
42,3,7.8958,C
43,2,41.5792,C
44,3,7.8792,Q
45,3,8.05,S
46,3,15.5,Q
47,3,7.75,Q
48,3,21.6792,C
49,3,17.8,S
50,3,39.6875,S
51,3,7.8,S
52,1,76.7292,C
53,2,26.0,S
54,1,61.9792,C
55,1,35.5,S
56,2,10.5,S
57,3,7.2292,C
58,2,27.75,S
59,3,46.9,S
60,3,7.2292,C
61,1,80.0,
62,1,83.475,S
63,3,27.9,S
64,1,27.7208,C
65,3,15.2458,C
66,2,10.5,S
67,3,8.1583,S
68,3,7.925,S
69,3,8.6625,S
70,2,10.5,S
71,3,46.9,S
72,2,73.5,S
73,3,14.4542,C
74,3,56.4958,S
75,3,7.65,S
76,3,7.8958,S
77,3,8.05,S
78,2,29.0,S
79,3,12.475,S
80,3,9.0,S
81,3,9.5,S
82,3,7.7875,Q
83,1,47.1,S
84,2,10.5,S
85,3,15.85,S
86,3,34.375,S
87,3,8.05,S
88,1,263.0,S
89,3,8.05,S
90,3,8.05,S
91,3,7.8542,S
92,1,61.175,S
93,3,20.575,S
94,3,7.25,S
95,3,8.05,S
96,1,34.6542,C
97,1,63.3583,C
98,2,23.0,S
99,2,26.0,S
100,3,7.8958,S
101,3,7.8958,S
102,1,77.2875,S
103,3,8.6542,S
104,3,7.925,S
105,3,7.8958,S
106,3,7.65,S
107,3,7.775,S
108,3,7.8958,S
109,3,24.15,Q
110,1,52.0,S
111,3,14.4542,C
112,3,8.05,S
113,3,9.825,S
114,3,14.4583,C
115,3,7.925,S
116,3,7.75,Q
117,2,21.0,S
118,1,247.5208,C
119,3,31.275,S
120,2,73.5,S
121,3,8.05,S
122,2,30.0708,C
123,2,13.0,S
124,1,77.2875,S
125,3,11.2417,C
126,3,7.75,Q
127,3,7.1417,S
128,3,22.3583,C
129,3,6.975,S
130,3,7.8958,C
131,3,7.05,S
132,3,14.5,S
133,2,26.0,S
134,2,13.0,S
135,2,15.0458,C
136,1,26.2833,S
137,1,53.1,S
138,3,9.2167,S
139,1,79.2,C
140,3,15.2458,C
141,3,7.75,S
142,3,15.85,S
143,3,6.75,Q
144,2,11.5,S
145,2,36.75,S
146,3,7.7958,S
147,3,34.375,S
148,2,26.0,S
149,2,13.0,S
150,2,12.525,S
151,1,66.6,S
152,3,8.05,S
153,3,14.5,S
154,3,7.3125,S
155,1,61.3792,C
156,3,7.7333,Q
157,3,8.05,S
158,3,8.6625,S
159,3,69.55,S
160,3,16.1,S
161,2,15.75,S
162,3,7.775,S
163,3,8.6625,S
164,3,39.6875,S
165,3,20.525,S
166,1,55.0,S
167,3,27.9,S
168,1,25.925,S
169,3,56.4958,S
170,1,33.5,S
171,3,29.125,Q
172,3,11.1333,S
173,3,7.925,S
174,1,30.6958,C
175,3,7.8542,S
176,3,25.4667,S
177,1,28.7125,C
178,2,13.0,S
179,3,0.0,S
180,3,69.55,S
181,2,15.05,C
182,3,31.3875,S
183,2,39.0,S
184,3,22.025,S
185,1,50.0,S
186,3,15.5,Q
187,1,26.55,S
188,3,15.5,Q
189,3,7.8958,S
190,2,13.0,S
191,2,13.0,S
192,3,7.8542,S
193,2,26.0,S
194,1,27.7208,C
195,1,146.5208,C
196,3,7.75,Q
197,3,8.4042,S
198,3,7.75,Q
199,2,13.0,S
200,3,9.5,S
201,3,69.55,S
202,3,6.4958,S
203,3,7.225,C
204,3,8.05,S
205,3,10.4625,S
206,3,15.85,S
207,3,18.7875,C
208,3,7.75,Q
209,1,31.0,C
210,3,7.05,S
211,2,21.0,S
212,3,7.25,S
213,2,13.0,S
214,3,7.75,Q
215,1,113.275,C
216,3,7.925,S
217,2,27.0,S
218,1,76.2917,C
219,2,10.5,S
220,3,8.05,S
221,2,13.0,S
222,3,8.05,S
223,3,7.8958,S
224,1,90.0,S
225,3,9.35,S
226,2,10.5,S
227,3,7.25,S
228,2,13.0,S
229,3,25.4667,S
230,1,83.475,S
231,3,7.775,S
232,2,13.5,S
233,3,31.3875,S
234,2,10.5,S
235,3,7.55,S
236,2,26.0,S
237,2,26.25,S
238,2,10.5,S
239,2,12.275,S
240,3,14.4542,C
241,3,15.5,Q
242,2,10.5,S
243,3,7.125,S
244,3,7.225,C
245,1,90.0,Q
246,3,7.775,S
247,2,14.5,S
248,1,52.5542,S
249,2,26.0,S
250,3,7.25,S
251,3,10.4625,S
252,1,26.55,S
253,3,16.1,S
254,3,20.2125,S
255,3,15.2458,C
256,1,79.2,C
257,1,86.5,S
258,1,512.3292,C
259,2,26.0,S
260,3,7.75,Q
261,3,31.3875,S
262,1,79.65,S
263,1,0.0,S
264,3,7.75,Q
265,2,10.5,S
266,3,39.6875,S
267,3,7.775,S
268,1,153.4625,S
269,1,135.6333,S
270,1,31.0,S
271,3,0.0,S
272,2,19.5,S
273,1,29.7,C
274,3,7.75,Q
275,1,77.9583,S
276,3,7.75,S
277,2,0.0,S
278,3,29.125,Q
279,3,20.25,S
280,3,7.75,Q
281,3,7.8542,S
282,3,9.5,S
283,3,8.05,S
284,1,26.0,S
285,3,8.6625,C
286,3,9.5,S
287,3,7.8958,S
288,2,13.0,S
289,3,7.75,Q
290,1,78.85,S
291,1,91.0792,C
292,2,12.875,C
293,3,8.85,S
294,3,7.8958,S
295,1,27.7208,C
296,3,7.2292,C
297,1,151.55,S
298,1,30.5,S
299,1,247.5208,C
300,3,7.75,Q
301,3,23.25,Q
302,3,0.0,S
303,2,12.35,Q
304,3,8.05,S
305,1,151.55,S
306,1,110.8833,C
307,1,108.9,C
308,2,24.0,C
309,1,56.9292,C
310,1,83.1583,C
311,1,262.375,C
312,2,26.0,S
313,3,7.8958,S
314,2,26.25,S
315,3,7.8542,S
316,2,26.0,S
317,2,14.0,S
318,1,164.8667,S
319,1,134.5,C
320,3,7.25,S
321,3,7.8958,S
322,2,12.35,Q
323,2,29.0,S
324,3,69.55,S
325,1,135.6333,C
326,3,6.2375,S
327,2,13.0,S
328,3,20.525,S
329,1,57.9792,C
330,3,23.25,Q
331,1,28.5,S
332,1,153.4625,S
333,3,18.0,S
334,1,133.65,S
335,3,7.8958,S
336,1,66.6,S
337,1,134.5,C
338,3,8.05,S
339,1,35.5,S
340,2,26.0,S
341,1,263.0,S
342,2,13.0,S
343,2,13.0,S
344,2,13.0,S
345,2,13.0,S
346,2,13.0,S
347,3,16.1,S
348,3,15.9,S
349,3,8.6625,S
350,3,9.225,S
351,1,35.0,S
352,3,7.2292,C
353,3,17.8,S
354,3,7.225,C
355,3,9.5,S
356,1,55.0,S
357,2,13.0,S
358,3,7.8792,Q
359,3,7.8792,Q
360,3,27.9,S
361,2,27.7208,C
362,3,14.4542,C
363,3,7.05,S
364,3,15.5,Q
365,3,7.25,S
366,1,75.25,C
367,3,7.2292,C
368,3,7.75,Q
369,1,69.3,C
370,1,55.4417,C
371,3,6.4958,S
372,3,8.05,S
373,1,135.6333,C
374,3,21.075,S
375,1,82.1708,C
376,3,7.25,S
377,1,211.5,C
378,3,4.0125,C
379,3,7.775,S
380,1,227.525,C
381,3,15.7417,C
382,3,7.925,S
383,1,52.0,S
384,3,7.8958,S
385,2,73.5,S
386,3,46.9,S
387,2,13.0,S
388,3,7.7292,Q
389,2,12.0,C
390,1,120.0,S
391,3,7.7958,S
392,3,7.925,S
393,1,113.275,C
394,3,16.7,S
395,3,7.7958,S
396,3,7.8542,S
397,2,26.0,S
398,2,10.5,S
399,2,12.65,S
400,3,7.925,S
401,3,8.05,S
402,3,9.825,S
403,3,15.85,S
404,3,8.6625,S
405,2,21.0,S
406,3,7.75,S
407,2,18.75,S
408,3,7.775,S
409,3,25.4667,S
410,3,7.8958,S
411,3,6.8583,Q
412,1,90.0,Q
413,2,0.0,S
414,3,7.925,S
415,3,8.05,S
416,2,32.5,S
417,2,13.0,S
418,2,13.0,S
419,3,24.15,S
420,3,7.8958,C
421,3,7.7333,Q
422,3,7.875,S
423,3,14.4,S
424,3,20.2125,S
425,3,7.25,S
426,2,26.0,S
427,2,26.0,S
428,3,7.75,Q
429,3,8.05,S
430,1,26.55,S
431,3,16.1,S
432,2,26.0,S
433,3,7.125,S
434,1,55.9,S
435,1,120.0,S
436,3,34.375,S
437,2,18.75,S
438,1,263.0,S
439,2,10.5,S
440,2,26.25,S
441,3,9.5,S
442,3,7.775,S
443,2,13.0,S
444,3,8.1125,S
445,1,81.8583,S
446,2,19.5,S
447,1,26.55,S
448,3,19.2583,C
449,1,30.5,S
450,2,27.75,S
451,3,19.9667,S
452,1,27.75,C
453,1,89.1042,C
454,3,8.05,S
455,3,7.8958,C
456,1,26.55,S
457,1,51.8625,S
458,2,10.5,S
459,3,7.75,Q
460,1,26.55,S
461,3,8.05,S
462,1,38.5,S
463,2,13.0,S
464,3,8.05,S
465,3,7.05,S
466,2,0.0,S
467,1,26.55,S
468,3,7.725,Q
469,3,19.2583,C
470,3,7.25,S
471,3,8.6625,S
472,2,27.75,S
473,2,13.7917,C
474,3,9.8375,S
475,1,52.0,S
476,2,21.0,S
477,3,7.0458,S
478,3,7.5208,S
479,3,12.2875,S
480,3,46.9,S
481,2,0.0,S
482,3,8.05,S
483,3,9.5875,S
484,1,91.0792,C
485,3,25.4667,S
486,1,90.0,S
487,1,29.7,C
488,3,8.05,S
489,3,15.9,S
490,3,19.9667,S
491,3,7.25,S
492,1,30.5,S
493,1,49.5042,C
494,3,8.05,S
495,3,14.4583,C
496,1,78.2667,C
497,3,15.1,S
498,1,151.55,S
499,3,7.7958,S
500,3,8.6625,S
501,3,7.75,Q
502,3,7.6292,Q
503,3,9.5875,S
504,1,86.5,S
505,1,108.9,C
506,2,26.0,S
507,1,26.55,S
508,3,22.525,S
509,3,56.4958,S
510,3,7.75,Q
511,3,8.05,S
512,1,26.2875,S
513,1,59.4,C
514,3,7.4958,S
515,1,34.0208,S
516,2,10.5,S
517,3,24.15,Q
518,2,26.0,S
519,3,7.8958,S
520,1,93.5,S
521,3,7.8958,S
522,3,7.225,C
523,1,57.9792,C
524,3,7.2292,C
525,3,7.75,Q
526,2,10.5,S
527,1,221.7792,S
528,3,7.925,S
529,2,11.5,S
530,2,26.0,S
531,3,7.2292,C
532,3,7.2292,C
533,3,22.3583,C
534,3,8.6625,S
535,2,26.25,S
536,1,26.55,S
537,1,106.425,C
538,3,14.5,S
539,1,49.5,C
540,1,71.0,S
541,3,31.275,S
542,3,31.275,S
543,2,26.0,S
544,1,106.425,C
545,1,26.0,S
546,2,26.0,S
547,2,13.8625,C
548,3,20.525,S
549,2,36.75,S
550,1,110.8833,C
551,2,26.0,S
552,3,7.8292,Q
553,3,7.225,C
554,3,7.775,S
555,1,26.55,S
556,1,39.6,C
557,1,227.525,C
558,1,79.65,S
559,3,17.4,S
560,3,7.75,Q
561,3,7.8958,S
562,2,13.5,S
563,3,8.05,S
564,3,8.05,S
565,3,24.15,S
566,3,7.8958,S
567,3,21.075,S
568,3,7.2292,C
569,3,7.8542,S
570,2,10.5,S
571,1,51.4792,S
572,1,26.3875,S
573,3,7.75,Q
574,3,8.05,S
575,3,14.5,S
576,2,13.0,S
577,1,55.9,S
578,3,14.4583,C
579,3,7.925,S
580,2,30.0,S
581,1,110.8833,C
582,2,26.0,S
583,1,40.125,C
584,3,8.7125,C
585,1,79.65,S
586,2,15.0,S
587,1,79.2,C
588,3,8.05,S
589,3,8.05,S
590,3,7.125,S
591,1,78.2667,C
592,3,7.25,S
593,3,7.75,Q
594,2,26.0,S
595,3,24.15,S
596,2,33.0,S
597,3,0.0,S
598,3,7.225,C
599,1,56.9292,C
600,2,27.0,S
601,3,7.8958,S
602,1,42.4,S
603,3,8.05,S
604,1,26.55,C
605,3,15.55,S
606,3,7.8958,S
607,1,30.5,S
608,2,41.5792,C
609,1,153.4625,S
610,3,31.275,S
611,3,7.05,S
612,3,15.5,Q
613,3,7.75,Q
614,3,8.05,S
615,2,65.0,S
616,3,14.4,S
617,3,16.1,S
618,2,39.0,S
619,2,10.5,S
620,3,14.4542,C
621,1,52.5542,S
622,3,15.7417,C
623,3,7.8542,S
624,3,16.1,S
625,1,32.3208,S
626,2,12.35,Q
627,1,77.9583,S
628,3,7.8958,S
629,3,7.7333,Q
630,1,30.0,S
631,3,7.0542,S
632,1,30.5,C
633,1,0.0,S
634,3,27.9,S
635,2,13.0,S
636,3,7.925,S
637,2,26.25,S
638,3,39.6875,S
639,3,16.1,S
640,3,7.8542,S
641,1,69.3,C
642,3,27.9,S
643,3,56.4958,S
644,3,19.2583,C
645,1,76.7292,C
646,3,7.8958,S
647,1,35.5,C
648,3,7.55,S
649,3,7.55,S
650,3,7.8958,S
651,2,23.0,S
652,3,8.4333,S
653,3,7.8292,Q
654,3,6.75,Q
655,2,73.5,S
656,3,7.8958,S
657,3,15.5,Q
658,2,13.0,S
659,1,113.275,C
660,1,133.65,S
661,3,7.225,C
662,1,25.5875,S
663,3,7.4958,S
664,3,7.925,S
665,2,73.5,S
666,2,13.0,S
667,3,7.775,S
668,3,8.05,S
669,1,52.0,S
670,2,39.0,S
671,1,52.0,S
672,2,10.5,S
673,2,13.0,S
674,2,0.0,S
675,3,7.775,S
676,3,8.05,S
677,3,9.8417,S
678,3,46.9,S
679,1,512.3292,C
680,3,8.1375,Q
681,1,76.7292,C
682,3,9.225,S
683,3,46.9,S
684,2,39.0,S
685,2,41.5792,C
686,3,39.6875,S
687,3,10.1708,S
688,3,7.7958,S
689,1,211.3375,S
690,1,57.0,S
691,3,13.4167,C
692,3,56.4958,S
693,3,7.225,C
694,1,26.55,S
695,2,13.5,S
696,3,8.05,S
697,3,7.7333,Q
698,1,110.8833,C
699,3,7.65,S
700,1,227.525,C
701,1,26.2875,S
702,3,14.4542,C
703,3,7.7417,Q
704,3,7.8542,S
705,2,26.0,S
706,2,13.5,S
707,1,26.2875,S
708,1,151.55,S
709,3,15.2458,C
710,1,49.5042,C
711,1,26.55,S
712,1,52.0,S
713,3,9.4833,S
714,2,13.0,S
715,3,7.65,S
716,1,227.525,C
717,2,10.5,S
718,3,15.5,Q
719,3,7.775,S
720,2,33.0,S
721,3,7.0542,S
722,2,13.0,S
723,2,13.0,S
724,1,53.1,S
725,3,8.6625,S
726,2,21.0,S
727,3,7.7375,Q
728,2,26.0,S
729,3,7.925,S
730,1,211.3375,S
731,3,18.7875,C
732,2,0.0,S
733,2,13.0,S
734,2,13.0,S
735,3,16.1,S
736,3,34.375,S
737,1,512.3292,C
738,3,7.8958,S
739,3,7.8958,S
740,1,30.0,S
741,1,78.85,S
742,1,262.375,C
743,3,16.1,S
744,3,7.925,S
745,1,71.0,S
746,3,20.25,S
747,2,13.0,S
748,1,53.1,S
749,3,7.75,Q
750,2,23.0,S
751,3,12.475,S
752,3,9.5,S
753,3,7.8958,S
754,2,65.0,S
755,2,14.5,S
756,3,7.7958,S
757,2,11.5,S
758,3,8.05,S
759,1,86.5,S
760,3,14.5,S
761,3,7.125,S
762,3,7.2292,C
763,1,120.0,S
764,3,7.775,S
765,1,77.9583,S
766,1,39.6,C
767,3,7.75,Q
768,3,24.15,Q
769,3,8.3625,S
770,3,9.5,S
771,3,7.8542,S
772,2,10.5,S
773,3,7.225,C
774,2,23.0,S
775,3,7.75,S
776,3,7.75,Q
777,3,12.475,S
778,3,7.7375,Q
779,1,211.3375,S
780,3,7.2292,C
781,1,57.0,S
782,1,30.0,S
783,3,23.45,S
784,3,7.05,S
785,3,7.25,S
786,3,7.4958,S
787,3,29.125,Q
788,3,20.575,S
789,1,79.2,C
790,3,7.75,Q
791,2,26.0,S
792,3,69.55,S
793,1,30.6958,C
794,3,7.8958,S
795,2,13.0,S
796,1,25.9292,S
797,3,8.6833,S
798,3,7.2292,C
799,3,24.15,S
800,2,13.0,S
801,2,26.25,S
802,1,120.0,S
803,3,8.5167,C
804,3,6.975,S
805,3,7.775,S
806,1,0.0,S
807,3,7.775,S
808,2,13.0,S
809,1,53.1,S
810,3,7.8875,S
811,3,24.15,S
812,2,10.5,S
813,3,31.275,S
814,3,8.05,S
815,1,0.0,S
816,3,7.925,S
817,2,37.0042,C
818,3,6.45,S
819,3,27.9,S
820,1,93.5,S
821,3,8.6625,S
822,1,0.0,S
823,3,12.475,S
824,3,39.6875,S
825,3,6.95,Q
826,3,56.4958,S
827,2,37.0042,C
828,3,7.75,Q
829,1,80.0,
830,3,14.4542,C
831,2,18.75,S
832,3,7.2292,C
833,3,7.8542,S
834,3,8.3,S
835,1,83.1583,C
836,3,8.6625,S
837,3,8.05,S
838,3,56.4958,S
839,1,29.7,C
840,3,7.925,S
841,2,10.5,S
842,1,31.0,C
843,3,6.4375,C
844,3,8.6625,S
845,3,7.55,S
846,3,69.55,S
847,3,7.8958,C
848,2,33.0,S
849,1,89.1042,C
850,3,31.275,S
851,3,7.775,S
852,3,15.2458,C
853,1,39.4,S
854,2,26.0,S
855,3,9.35,S
856,1,164.8667,S
857,1,26.55,S
858,3,19.2583,C
859,3,7.2292,C
860,3,14.1083,S
861,2,11.5,S
862,1,25.9292,S
863,3,69.55,S
864,2,13.0,S
865,2,13.0,S
866,2,13.8583,C
867,1,50.4958,S
868,3,9.5,S
869,3,11.1333,S
870,3,7.8958,S
871,1,52.5542,S
872,1,5.0,S
873,3,9.0,S
874,2,24.0,C
875,3,7.225,C
876,3,9.8458,S
877,3,7.8958,S
878,3,7.8958,S
879,1,83.1583,C
880,2,26.0,S
881,3,7.8958,S
882,3,10.5167,S
883,2,10.5,S
884,3,7.05,S
885,3,29.125,Q
886,2,13.0,S
887,1,30.0,S
888,3,23.45,S
889,1,30.0,C
890,3,7.75,Q
